Risk.group,Strategy,number,risk,screen_detect,cost,advcancer_screen,advcancer_interval
99,2,1,0.10013128073154379,0.6726493254150105,2,0.22,0.53
100,2,1,0.1565826613588866,0.6726493254150105,2,0.22,0.53
1,3,1,0.011984385869442483,0.5991851458513964,1.5,0.22,0.53
2,3,1,0.012130683660027803,0.5991851458513964,1.5,0.22,0.53
3,3,1,0.01225045665872269,0.5991851458513964,1.5,0.22,0.53
4,3,1,0.012385806505271497,0.5991851458513964,1.5,0.22,0.53
5,3,1,0.012528624630439739,0.5991851458513964,1.5,0.22,0.53
6,3,1,0.0126424505378414,0.5991851458513964,1.5,0.22,0.53
7,3,1,0.01278543172122319,0.5991851458513964,1.5,0.22,0.53
8,3,1,0.012929504374952673,0.5991851458513964,1.5,0.22,0.53
9,3,1,0.013021516454878607,0.5991851458513964,1.5,0.22,0.53
10,3,1,0.013144039813409872,0.5991851458513964,1.5,0.22,0.53
11,3,1,0.013242669504419713,0.5991851458513964,1.5,0.22,0.53
12,3,1,0.01332100609027509,0.5991851458513964,1.5,0.22,0.53
13,3,1,0.013429025118642659,0.5991851458513964,1.5,0.22,0.53
14,3,1,0.013536413247719701,0.5991851458513964,1.5,0.22,0.53
15,3,1,0.013650988231802929,0.5991851458513964,1.5,0.22,0.53
16,3,1,0.013740903446325317,0.5991851458513964,1.5,0.22,0.53
17,3,1,0.013846975896552302,0.5991851458513964,1.5,0.22,0.53
18,3,1,0.013940559576017217,0.5991851458513964,1.5,0.22,0.53
19,3,1,0.014051558783903595,0.5991851458513964,1.5,0.22,0.53
20,3,1,0.014180621535658485,0.5991851458513964,1.5,0.22,0.53
21,3,1,0.01428485638666826,0.5991851458513964,1.5,0.22,0.53
22,3,1,0.014359602978159048,0.5991851458513964,1.5,0.22,0.53
23,3,1,0.0144668019510579,0.5991851458513964,1.5,0.22,0.53
24,3,1,0.014575829682406047,0.5991851458513964,1.5,0.22,0.53
25,3,1,0.014699964618591995,0.5991851458513964,1.5,0.22,0.53
26,3,1,0.014777026499148152,0.5991851458513964,1.5,0.22,0.53
27,3,1,0.014897199518522773,0.5991851458513964,1.5,0.22,0.53
28,3,1,0.015012386184999506,0.5991851458513964,1.5,0.22,0.53
29,3,1,0.015137314760255198,0.5991851458513964,1.5,0.22,0.53
30,3,1,0.015240563715866694,0.5991851458513964,1.5,0.22,0.53
31,3,1,0.015382292572952051,0.5991851458513964,1.5,0.22,0.53
32,3,1,0.015521872843354483,0.5991851458513964,1.5,0.22,0.53
33,3,1,0.015658109676823528,0.5991851458513964,1.5,0.22,0.53
34,3,1,0.0157838417811784,0.5991851458513964,1.5,0.22,0.53
35,3,1,0.015894552682763796,0.5991851458513964,1.5,0.22,0.53
36,3,1,0.016027244440470753,0.5991851458513964,1.5,0.22,0.53
37,3,1,0.01616939663983459,0.5991851458513964,1.5,0.22,0.53
38,3,1,0.016296095549033336,0.5991851458513964,1.5,0.22,0.53
39,3,1,0.016401798161554983,0.5991851458513964,1.5,0.22,0.53
40,3,1,0.016555568273449627,0.5991851458513964,1.5,0.22,0.53
41,3,1,0.01673011166115433,0.5991851458513964,1.5,0.22,0.53
42,3,1,0.016905802985256683,0.5991851458513964,1.5,0.22,0.53
43,3,1,0.017052772864228558,0.5991851458513964,1.5,0.22,0.53
44,3,1,0.01718340980354679,0.5991851458513964,1.5,0.22,0.53
45,3,1,0.017329799866032294,0.5991851458513964,1.5,0.22,0.53
46,3,1,0.017519562672328282,0.5991851458513964,1.5,0.22,0.53
47,3,1,0.01773230595387304,0.5991851458513964,1.5,0.22,0.53
48,3,1,0.018007545068258555,0.5991851458513964,1.5,0.22,0.53
49,3,1,0.01818233304591515,0.5991851458513964,1.5,0.22,0.53
